gene	MII_oocyte	zygote	early_2cell	2cell	4cell	8cell	mESC
Isy1	67.8439	20.4011	23.7123	12.071	17.8582	17.4388	28.5247
Psmb11	0.0461785	0.0879304	0.116082	0.419159	0.112322	0.300154	0.0314766
Tmem108	9.41223	8.54903	16.4508	1.48011	0.26029	0.0408771	0.0729537
Pold4	0.784014	2.75727	3.04999	0.170953	0.422316	1.06597	3.5661
Lmln	0.876753	1.42221	2.05245	0.560605	0.40032	0.20092	0.162853
Tnfsf12	0.217089	0.141024	0.445506	5.70745	9.48205	10.4159	0.255608
Zar1l	32.7735	116.663	40.8255	12.4866	2.0778	1.27483	0
Mir1668	0	0	0	0	0	0	0
Sdr16c5	0	0	0	0	0	0	0
Hapln1	0	0.0182918	0	0	0	0	0
Irx6	0	0	0	0	0	0	0
Tmem237	12.0871	9.67194	3.38295	0.126711	1.02485	0.696807	23.2429
Sytl4	104.717	84.8765	79.061	4.07961	0.668002	0.0573356	0.0409241
Prickle1	29.5645	30.3378	31.2762	41.4418	15.7168	4.37605	0.262308
Kif11	12.4058	11.1852	6.76697	24.7701	26.0545	17.823	13.1419
Thsd4	1.37454	0.641771	0.488717	0.226689	0.111719	0.0533317	0
Gm1966	0.0145102	0.0312978	0.00689931	0	0	0.00422552	0.030038
1700081H04Rik	0	0	0	0	0	0	0
Cox5b	8.77345	68.1592	72.0447	98.052	229.888	177.631	1007.05
Zfp185	0.373084	0.318852	0.361958	0.271046	0.180574	0.0850508	1.66949
Ankrd1	0	0.0289101	0.0252538	0	0	0.0451348	0
Lsm8	10.496	4.7705	11.3191	170.172	121.169	88.8914	224.745
Epha2	0.133799	0	0.136438	0.144074	0.216512	0	4.94916
Ckap2	83.475	66.8111	34.5695	29.8175	40.8029	31.4331	19.6777
Zfp773	0	0.0158185	0.166725	0	0	0	0.405756
Xist	0	0.0111099	0.00460686	0.896551	0.949477	15.235	0.795565
Awat1	0	0.114576	0.0996994	0.034302	0.084255	0.0293849	0
Fkbp7	0	0.0671516	0.346429	0.116364	0	0	3.64255
Prr14l	19.3387	14.3788	14.8435	21.2816	9.92814	5.22207	1.77347
Pnma1	0	0	0.0182278	0	0.186926	0.378189	0
Nme6	4.31768	6.46899	6.9475	18.1279	22.1047	45.0097	24.2015
1700009N14Rik	0	0	0	0	0	0	0
Ctsk	0	0	0.0859075	0.0593843	0.0364238	0.33117	0.184065
Chac2	14.2726	15.493	7.71107	0.761246	1.9	0.465485	10.5
Ubp1	21.2816	21.3715	17.063	28.4055	7.02173	3.7691	8.81687
Gzmf	0	0	0	0	0	0	0
Slc26a5	2.93516	4.05502	2.62783	0.713084	0.0604372	0.119738	0
Csgalnact1	0	0.0118929	0	0	0	0	0
N4bp3	0	0.0188947	0.11602	0.173946	0.446722	0.299695	7.14047
Mir7649	0	0	0	0	0	0	0
Cnst	24.227	37.3805	42.8072	10.3487	7.52158	3.36473	0.879559
Abhd12b	0.154477	0.0525577	0.0454624	0.0927249	0.399788	0.553827	0
Sdccag8	0.270126	0.400374	0.618811	0.289017	0.529997	1.34922	0.59442
Olfr362	0	0	0	0	0	0	0
Has2os	0	0	0	0	0	0.114207	0
Tcte1	0	0	0	0	0	0	0.170782
Dtd2	1.55405	0.985909	0.532189	0.436326	0.747051	1.15768	7.48783
Mir1942	0	0	0	0	0	0	0
Lor	0	0	0	0	0	0	0
Arf6	1.5578	2.00612	3.81729	11.1837	4.81947	3.46682	14.3214
Mau2	5.01313	4.42235	7.23224	7.87953	11.3924	7.98223	1.65248
Bmp7	0.0901096	0.0128417	0.31621	0.119156	0	0.0514176	0.073416
Gm15760	0.0193079	0.151183	0.253724	0.522248	0.295628	0.439603	0.314015
Gm5595	1.32651	2.34039	2.11946	0.591061	0.355969	0.299839	1.60018
Inmt	0	0	0	0	0.183125	0	0
Zfp946	4.92812	16.2104	10.3035	3.30952	0.343672	0.39963	1.5
Grb10	1.78945	1.43491	1.01592	1.71581	0.719429	1.14368	0.502418
Fam174a	0.0335396	0.590177	0.372008	0.712831	1.03133	1.24502	1.80271
Zbtb32	4.13206	4.58108	5.54511	1.64485	0	0.156988	1.29321
AU019823	8.65305	6.72264	3.04322	9.8353	7.87712	7.57045	6.26555
Rbl1	6.47382	12.0743	10.4575	2.39654	1.12243	1.27967	2.3556
Sprr2b	0	0	0	0	0	0	0.254498
Psmb9	0	0	0.200595	0.133577	0.248102	0.339646	0.629095
Olfr837	0	0	0	0	0.0598143	0.413783	0
Lcn3	0	0	0	0	0	0	0
Ifit2	0	0.011875	0	0	0	0	0.339774
Cbx2	34.2528	14.7618	18.0414	10.5246	4.55047	0.312538	0.539737
Gm8179	0.0460798	0	0.0560347	0	0	0	0
Ebag9	7.75853	4.2666	2.81916	2.34958	0.776077	1.44707	2.52129
Ddx47	23.8472	9.51769	7.25255	47.875	77.9807	63.522	23.6855
Olfr1015	0	0	0	0	0	0	0
4933411G06Rik	0	0	0	0	0	0	0
Mylk4	0.0910519	0.0489186	0.100578	0	0	0	0
Tpte	0.026972	0.0763323	0.0334764	0.0526912	0.0429606	0	0
Emilin3	0.409094	0.110918	0	0	0	0	0
Stk39	1.56571	3.98471	2.33009	0.745865	0.0165686	0.0818812	0.0836022
Kcnj13	0	0.397798	0.311328	0.463535	0.394253	0.580101	0.110747
Spesp1	0.022373	0	0	3.71478	1.86619	1.88636	0.135829
Klra1	0	0	0	0	0	0.0271747	0
4933402N03Rik	0	0	0	0	0	0	0
4930413G21Rik	0	0.0759228	0	0.545677	0.2513	0.14609	0.211742
Clcnkb	0	0.0209846	0	0	0	0.0497609	0.238014
Timm17b	2.39155	1.57368	2.44427	27.2271	28.1455	40.3756	11.6599
Pipox	0	0.0287402	0.100429	0.104501	0	0.516138	11.4845
Gm14164	12.2462	14.676	19.5349	1.99815	0.883439	0.806358	0.35425
Nepn	0	0	0.0973512	0	0	0	0.235313
Fem1b	2.93646	7.4596	8.63775	13.7612	11.0607	7.29392	10.5513
Tm6sf1	0.338794	2.01399e-06	0.0880732	0.827664	1.05673	0.210398	0.315711
Tex101	0	0.433934	0.281319	14.5154	0.2942	0	0.446777
Mir666	0	0	0	0	0	0	0
Tspan13	14.0707	10.4506	7.29535	1.31376	0.994819	1.29359	5.02451
Adm	0	0.0773233	1.91721	0.451142	1.9181	4.87485	0
Vmn1r67	0	0	0	0	0	0	0
Igtp	0.175835	0.197767	0.454275	0.259758	0.470207	0.252524	0.349203
Gp49a	0	0	0.0799902	0.12302	0	0	0
Pds5a	0.805606	0.507406	0.644968	12.1405	8.40905	8.83507	2.90537
Uba52	1.19743	4.01033	7.85522	170.05	347.303	410.494	794.045
Kctd13	117.386	49.3327	125.402	36.0854	59.1509	20.4475	1.31316
Stambp	16.9078	20.0247	16.7905	1.26321	1.95858	1.84771	2.01694
Fastkd3	23.115	15.5128	16.5276	21.2841	30.4501	10.5419	5.77204
Ccdc86	9.93658	6.93588	3.93504	28.5212	49.4054	37.9113	8.13244
0610009L18Rik	1.48776	0.818148	1.57443	0.0954865	0.23819	0	0
Skint11	0	0	0	0	0	0	0
Arhgef9	0.013822	0	0	0	0	0	0.0566655
Nr5a1	0	0	0.0714585	0	0	0	0
4933401B06Rik	0	0.022538	0	0	0	0	0
Yy2	3.64078	8.46926	5.19768	48.0095	16.1614	17.1757	3.82025
Taar6	0	0	0	0	0	0	0
Bcs1l	0.87131	0.72134	1.79427	2.90394	7.5808	6.31374	8.98715
2010012O05Rik	1.45401	0.54635	0.458542	1.23031	3.11388	4.84466	3.28632
Ccdc92	11.6233	11.5421	17.6196	4.87155	3.67998	2.08785	2.1057
2610203C22Rik	7.2172	9.61559	7.35629	2.50572	0.19257	0.100458	0
Ap1s2	10.3	15.954	11.753	4.45712	1.64642	3.34347	1.02209
Mir6937	0	0	0	0	0	0	0
Slc24a2	0.409258	0.717389	0.792547	0.128822	0	0.0174131	0
Myl2	0	0.112697	0.0950593	0.462562	0	0.0777569	0
Gpc1	0.261439	0.239392	0.304034	0.172663	0.241016	0.0425694	1.32998
Mcf2	1.85653	1.21511	0.550007	3.26712	1.56776	2.12031	2.16509
Adam30	0	0	0.0182022	0.0190718	0	0	0
Faim2	0	0	0.017645	0	0	0	0
Ptp4a2	83.7748	97.5718	70.9902	88.9168	75.5724	100.179	45.3511
Stk32b	16.1348	15.7338	21.8542	1.39055	0.0623333	0	0
Igj	0	0.0946822	0.0207222	0	0	0	0
Cxcl16	0	0	0.279973	8.89147	2.2175	1.81244	0.226588
Fam208a	2.31858	1.94403	1.61014	7.13821	3.72174	4.11533	6.19347
Tas2r108	0	0	0.174249	0	0.0722976	0	0
Rassf4	0.0201189	0.0649234	0.11446	0.0809168	0.246733	0.0874425	0.0414728
Atp6v1b2	80.456	58.4695	69.9473	26.7066	42.7999	52.0578	26.0621
A730098P11Rik	6.65457	7.59612	6.12464	15.1441	11.4016	15.5502	54.9976
Rbfox1	0.680595	0.286367	0.15119	0.2464	0.0259993	0.0091931	0
Vhl	0.0499396	0.442362	0.962814	47.1832	104.801	70.3132	3.97664
Ost4	14.8638	20.3574	50.9735	237.614	416.293	284.976	398.844
Chtf18	0.454307	0.338162	0.4186	2.70096	11.6907	6.718	2.805
Foxd2os	0	0	0.044023	0	0.0188609	0.0931083	0.0475926
Gsx1	0	0.0287778	0	0	0	0	0
Lbx1	1.5959	0.920733	0.54725	0.427639	0.0755369	0	0
Thrsp	0	0.110666	0	0	0	0.497684	0.758816
Anxa5	6.80612	4.54874	5.78939	0.917692	0.794106	1.71516	3.17612
Kncn	0.0923527	0.0621279	0	0.0541609	0.0668507	0.138285	0
Pygm	0	0.0169191	0.356485	0.249853	0.229064	0.174985	0.192673
D17H6S53E	0	0	0.0409214	1.12295	4.42515	1.69911	0.59498
Scarf1	0	0	0	1.1846	2.12494	0.80898	0.0949017
Gria3	0	0.00887544	0.00781822	0	0	0	0
Phb2	40.2657	40.7274	43.6606	57.2938	178.755	186.049	103.007
0610037L13Rik	1.7889	2.72472	1.90621	3.28182	8.5378	14.7789	12.4357
Clec12b	0	0	0	0	0	0	0
Gm5132	0	0	0	0	0	0	0
Mgst1	0.186974	3.0162	1.29899	0.164196	0	0	1.02673
Usp24	1.03348	0.828574	1.11008	1.91397	1.04492	1.877	1.40883
Gata2	0.0825177	0.0733459	0.992567	0.814735	0.0829517	0	0.585984
Tcaim	65.0101	36.7827	37.7274	6.24161	2.82704	1.60581	0.672927
Uggt2	1.25243	0.898325	0.550646	0.0656197	0	0.107792	0.22196
Ptgfr	0.0886154	0.232128	0.139319	0	0.0119862	0.0169613	0
Clic6	0	0	0	0	0	0	0.035952
Zfp354a	0.0162907	0.098805	0.117619	0	0.085733	0.0419706	0.998036
Iars2	1.387	0.440482	0.668948	0.903534	2.14669	1.48455	5.11022
Cyth3	6.59336	7.20665	10.8704	1.33314	1.54234	1.69565	1.33286
Mir6365	0	0	0	0	0	0	0
Olfr1247	0	0	0	0	0	0	0
Vmn2r23	0	0	0.033462	0	0	0	0
Nrn1	0	0.0319071	0.0835109	0.0288868	0	0	0
Pcdhb11	0.0916009	0.0130511	0.0344291	0.0242132	0	0	0
Mir7003	0	0	0	0	0	0	0
Letm1	13.3576	4.43207	3.51395	4.25964	4.61808	4.45828	4.85415
Echs1	47.2138	39.239	38.7625	10.5041	2.8086	4.85034	40.3694
Stc1	0.0882036	0.0880169	0.0774125	0.105041	0	0	0
Ush1c	0	0.0488649	0	0	0	0	0.0447594
Slc27a4	0	0	0.0308534	2.47662	4.15111	2.34446	0.769379
Ppp6r3	32.9221	20.0216	31.2412	11.2599	12.7073	24.4329	5.84107
Ly6d	0	0	0	0	0	0	0
Susd5	0.0339912	0.0363608	0	0	0.0687265	0	0.173354
Gm5150	0	0.131298	0.112963	0	0	0.0484532	0
Ccbl1	3.11454	1.33499	2.03738	1.28914	4.91274	7.16198	0.886165
Smpd4	6.35171	4.24213	2.85366	8.81981	14.533	14.6817	9.72639
Ube2d3	610.908	799.069	705.01	169.963	65.3756	91.3574	134.667
Plin5	0	0	0	0.118404	0.145029	1.11973	0.292989
9330175M20Rik	0	0.0381166	0	0.035083	0	0	0
Cntn5	0.826646	0.549612	0.621373	0.0364147	0.0741247	0	0
Ccdc175	0.0520754	0.29497	0.0970481	0.0170255	2.21715e-224	0	5.60364e-199
Blk	0	0.0394313	0	0	0	0	0
Twsg1	2.33462	1.36516	2.07663	1.09677	0.564507	0.547726	2.45031
Fgf10	4.20084	4.53413	4.17089	0.378647	0.12709	0.367931	0
Hist3h2ba	6.72039	2.9867	3.2218	0	0	0	4.82248
Catsperb	0	0	0	0.176406	0.035905	0.0203002	0
Gm5662	0	0.183571	38.4524	88.9664	12.5148	2.3367	3.82719
Wdr6	0.096124	0.0575873	0.145273	0.264608	0.371977	2.10642	5.94289
Cpn1	0.0406089	0.653768	0.298018	9.71914	8.14137	2.33157	0.88015
Steap4	5.68587	3.15966	1.1077	0.182677	0.0515114	0.0363563	0
4933438B17Rik	0	0	0	0	0	0	0
Iqgap2	18.4061	15.9891	11.4427	2.70249	0.598588	0.28274	0.525976
Mir6236	0	0	0	0	0	63.0706	0
Vmn1r2	0	0	0.125624	0	0	0	0
Ifnab	0	0	0	0	0	0	0
Radil	0.0178542	0.0381907	0.0783643	1.11556	3.54917	1.75978	0.072768
Hoxd10	0	0.0273814	0.0239337	0.0997332	0.0610991	0.23568	0
Pmf1	32.7929	20.3202	50.0634	16.7604	12.6194	18.5254	43.1902
Gm10432	0	0	0.00852122	6.69724e-11	0	0	0
Klrb1f	2.49335	2.16933	1.25875	0.337172	0	0	0
Plekhm3	3.57775	1.98923	0.858795	7.65497	8.07528	7.48383	0.243796
B3gnt2	31.2624	14.4449	12.7097	9.86504	4.2515	0.792575	6.0029
Rs1	0.0219465	0	0.0207887	0.0660955	0	0	0
Gyk	74.7539	58.8148	42.0335	3.30498	1.55343	3.86775	1.78497
Vmn1r178	0	0	0.0093863	0	0	0	0
Arpp19	34.1803	56.448	50.8234	11.9528	6.98342	11.4489	25.089
Sez6l2	0	0.0130326	0.0458488	1.32051	1.76728	1.48337	0.0745045
Apba3	0.83849	0.141642	0.28934	2.82972	30.2525	23.5253	1.06827
Mir7k	0	0	0	0	0	0	0
Nap1l3	2.78787	4.44837	2.24431	0.0157282	0.365305	0.0271134	0.242583
Vwa5b2	0.158127	0.0924569	0.271321	0.420827	0.501966	0.214778	0.088323
Klhl7	0.0601295	0.387004	0.37665	16.403	9.14509	8.81855	6.87732
Defb33	0	0	0	0	0	0	0
Ppp1r3f	0.0380684	0.0406557	0.047677	0.0879375	0.0613784	0.0454046	0.110253
A930003O13Rik	0	0	0	0.0235081	0	0	0
Hsf1	87.0316	37.4088	80.2836	29.2402	28.2898	13.2836	2.45114
Cbl	3.93917	3.99182	7.17619	12.5401	15.543	15.1791	1.12185
Srrt	2.38908	1.7163	2.32586	4.33574	11.812	14.7677	14.072
1700019M22Rik	0	0	0	2.48412	0.372156	0.249994	0
Il10ra	0	0	0.0833327	0.112977	0	0	0
Guf1	0.478967	0.400616	0.476866	0.470775	0.253982	0.453683	1.65212
Vmn2r76	0	0	0	0	0	0	0
Usp14	3.30844	18.6551	8.79593	12.2483	25.8191	55.4701	25.0365
6430531B16Rik	0	0	0.0415324	0	0	0	0
C1qtnf9	0	0	0	0	0	0	0.149514
Snora16a	0	0	0	0	0	0	428.309
Mir719	0	0	0	0	0	0	0
Rpl35	2.24864	11.2476	9.39335	171.679	328.757	449.63	841.586
Uspl1	5.71961	4.43765	7.22558	57.9873	33.7841	16.2424	9.90324
Mir5107	0	0	0	0	0	0	0
Slc35e1	0.0180734	0.0194567	0.0915009	1.14083	1.47633	1.43356	2.40674
Mir467f	0	0	0	0	0	0	0
Lactb	0.805119	2.41181	0.904527	4.00319	4.07574	3.96498	2.85096
Wfikkn1	0	0	0	0.247252	0.45359	0.0760638	0
Agtr1b	0.0328165	0.0693337	0	0	0	0.091032	0
Fsd1l	4.46246	5.51129	3.38774	0.193913	0.0973624	0.434044	1.92077
1110002L01Rik	0	0.0143957	0.0482066	1.76206	1.26455	0.827483	3.85859
2700081O15Rik	0	0	0.00816714	0.0778017	0.263719	0.261405	1.33007
Fam219b	0.0448487	0.187798	0.054986	2.69846	5.17822	3.63677	1.45245
Enah	4.9179	6.40873	7.34131	3.0873	1.61275	4.31471	15.3395
Fbxl17	2.21341	2.73356	2.95519	0.635265	0.0225875	0.03424	0.250482
Olfr118	0	0	1.36362	0.548927	0.065551	0.271357	0
2900041M22Rik	0	0	0	0	0.0439965	0	0.556152
Carf	0.240049	0.38875	0.474698	1.7975	1.08714	1.36308	0.552375
Gm10487	5.36856e-05	0	2.6049525e-05	5.7299625e-06	0	0	0
Wnt5a	0.194724	0.328044	0.266322	0.046842	0	0	0.0721464
Sdc2	1.39045	2.20755	1.21259	0.106201	0	0	0.327323
Slbp	1979.69	1843.3	1182.68	166.023	153.597	137.762	85.3239
Krt18	0	0.418297	0.72802	0.273287	1.59421	9.89172	3.07537
Mir6963	0	0	0	0	0	0	0
Dnajc16	2.23607	0.743472	0.274282	1.00252	4.01234	1.41353	0.274454
Spire1	87.4247	58.466	26.9624	13.7996	4.01055	1.27912	0.726194
Mup9	0	0.01149	0.0394881	0	0	0	0
Pik3cd	89.6568	33.7245	45.293	11.3404	6.50156	1.19675	0.516909
Gm8298	0	0	0	0	0	0	0
Arrdc1	70.8857	70.9923	56.1273	68.6216	87.8277	54.4831	0.851457
Cdyl2	0.929413	0.71819	0.781992	0.0210235	0.198652	1.1456	7.14039
1810018F18Rik	0	0	0	0	0	0	0
Bag5	5.95188	3.4458	6.33994	33.6955	57.528	43.2553	3.95218
Barx2	0.852786	0.511645	0.273183	0.0775463	0	0.222054	0
1810034E14Rik	0	0.254018	0.271279	0.539134	0.629234	0.330836	0
Mir6912	0	0	0	0	0	0	0
Abhd5	6.52256	10.589	7.18701	4.69474	4.76046	3.2391	1.33932
Plekhg1	36.8014	26.1262	22.1669	3.36194	0.347078	0.12819	0.200521
Ap3s1	8.27798	14.0231	17.0108	6.26511	6.06663	5.46605	12.8237
Ccdc61	0.690944	0.224124	0.283265	1.27391	0.585003	0.978108	1.33649
Olfr820	0	0	0	0	0	0	0
A4gnt	1.53117	0.595153	0.368729	0.0807192	0	0	0
2310001H17Rik	0	0	0	0	0	0	0.688945
4921511H03Rik	0	0	0	0	0	0	0
Gm5512	0.603317492945	2.4089385	2.669058238	7.960285	2.61623	0.8402761781	1.9033540561
Cdh24	0.299884	0.177087	0.543958	0.359213	0.219589	0.267346	0
Slc25a40	5.92062	9.71616	6.55318	2.30371	0.847945	0.880374	4.66535
Nrf1	22.0757	34.207	31.9313	34.5196	63.9595	32.821	3.83778
Cbr1	0.308563	3.88463	6.13026	21.2798	52.6839	62.4545	41.0012
Rps6ka5	11.8778	14.0654	11.3126	3.22698	1.51313	1.15555	0.393733
3300005D01Rik	0	0.495985	0	0	0	0	0
Slamf1	7.05057	7.34334	7.19415	0.879202	0.0405658	0	0
Olfr365	0	0	0	0	0	0	0
Zcchc14	2.50057	1.57459	2.13505	7.17924	3.23675	1.23852	3.10596
Rsf1os1	0	0	0	0	0	0.231461	0
Vmn2r-ps11	0.0360695	0.00545149	0.028657	0	0	0	0
Nod2	3.31888	1.09572	1.16829	0.131063	0.0114257	0.032345	0
Actr1b	1.6199	0.791774	1.05009	1.38243	6.12542	8.73903	9.29314
Dhx36	4.04301	3.53419	2.50651	6.35503	2.61317	3.02615	10.7518
Cotl1	1.35571	1.73353	3.65784	3.45446	1.68056	2.05828	5.9265
Rltpr	0.632976	0	0.102411	0.0716177	0.0875953	0.33927	0
Speer9-ps1	0	0	0.141253	0.210877	0	0	0
Cldn18	0	0	0.0305016	0	0	0.256514	0.049418
Olfr1042	0	0	0	0	0	0	0
Chad	0	0	0	0	0.0346757	0.218448	0
Dctd	114.251	54.9882	56.6947	36.3419	47.7565	46.1404	20.0763
Asb18	0	0	0	0	0	0	0
H2-Q7	0	0.0561165	0.148698	18.6806	14.4957	5.88521	0.0207619
Mrps5	14.7111	2.88146	2.05837	1.12988	5.46747	6.8917	18.6664
Obscn	0.311011	0.20047	0.163303	0.0900615	0.0465754	0.00315178	0.00558653
Olfr1284	0	0	0	0	0	0	0
Irs3	0	0	0	0.11576	0.354085	0.0498298	0
Leprotl1	4.96459	4.45318	3.65922	2.73346	5.75465	6.37894	7.9559
Bmf	0	0.010025	0.0353063	0.289428	0.467188	0.137096	0.143684
Ankrd10	1.59178	0.98914	1.70697	132.847	370.263	286.182	32.4221
Smr3a	0	0.20934	0	0	0	0	0.274197
Zfp91Cntf	4.59605e-07	6.98829e-06	6.41048e-08	2.0872	0.929924	1.66542	9.04746e-06
Snord88c	0	0	0	0	0	0	0
Serpina12	0	0	0	0.0118476	0	0	0.0729955
Rfxank	6.72447	2.7743	2.2185	5.59154	4.733	2.29918	2.1913
Sept9	0	0.0130447	0.085761	0.133132	0.133033	0.177559	7.37361
Bmp10	0	0	0	0	0	0	0
Mir7072	0	0	0	0	0	0	0
Psmg3	7.67652	3.9111	2.15142	20.9297	49.2771	43.6974	29.4369
Ogfrl1	0.427973	0.822613	0.235857	1.09638	0.23931	0.300316	1.09727
Vmac	0.495707	0.605195	0.220611	1.9572	1.77626	0.415775	1.85136
Zfp536	0.10346	0.0844709	0.0185892	0.0982673	0	0	0
Rnf207	0.807222	0.905297	1.60497	0.126696	0.309938	0.171472	0.279385
Tnfrsf13b	0.265723	0.173473	0.221942	3.52307	2.0028	2.11055	0
Ccdc55	88.578	42.8738	13.4835	14.748	10.8716	11.1057	8.29879
Pcdhgb1	0	4.46216e-74	0.0131733	0.0334276	9.32242e-31	0.0134782	2.60213e-07
Ruvbl2	8.84689	12.8437	19.3642	23.4581	106.615	160.747	59.5462
Dcun1d2	29.5387	6.71637	4.24049	8.62711	8.97688	5.76683	2.20738
Mir6915	0	0	0	0	0	0	0
Cep290	2.15852	1.45268	0.699854	1.35895	0.61048	0.495808	1.19199
1110012L19Rik	38.706	59.8785	74.7715	2.64091	6.86034	14.6309	16.6956
Ifrd2	0.396689	0.278659	0.0886474	2.61352	8.89416	7.0398	3.0041
Polr3c	1.41659	4.75998	8.49125	22.934	45.3483	29.6194	3.50958
Vmn1r68	0	0	0	0	0	0	0
Pkia	0.107749	0.0383906	0.022508	0	0	0	0.292652
Nfatc2ip	1.04216	1.25937	1.27917	4.72551	4.37103	5.89436	4.47477
Vmn2r54	0	0.0202044	0	0.0618959	0.00567879	0	0
6330408A02Rik	0.936272	0.283464	0.298973	0.288822	0.224531	0.0679532	0.121382
Shc2	0	0	0	0	0	0	0.406861
Ccdc173	7.74123	2.5135	1.70436	2.33607	1.64577	1.9139	1.49663
Akr1e1	1.07094	2.15514	2.24767	0.244507	0.0999169	0.583201	6.98311
Trmt5	9.90217	15.4588	15.3241	18.5737	37.9695	30.0642	13.6908
Calcr	0	0	0.0479404	0	0	0	0
Zfp119b	0.189873	0.612622	0.450257	0.509828	1.21939	0	4.31878
Mir3072	0	0	0	0	0	0	0
Spock2	0	0	0	0.0333994	0.0407815	0.172993	0
Oog4	217.312	568.663	252.17	8.91621	0.859874	0.301798	0
Col10a1	0.0429015	0.259135	0.30801	0.0422993	0	0	0.0434693
Gm10377	0	0.0182044	0	0	0	0	0
3100003L05Rik	0	0	0	0	0	0	0
Atp13a1	5.65587	1.5225	1.70325	3.84196	9.49104	5.69107	3.15537
Arid3c	0.622494	0.934357	1.8757	0.865857	0.292439	1.20072	0.16415
A330050F15Rik	0	0	0.0563459	0	0.0240662	0.0846514	0.0607515
1700001L05Rik	11.4703	9.49744	7.28631	4.50422	1.27126	0.462773	0.768409
Hmgn3	1.51201	3.45453	5.42271	18.4513	0.299451	0.348703	3.22521
Gpn3	1.04191	0.493498	0.52857	154.017	283.215	283.239	27.6323
Atp13a4	0.0703773	0.0665756	0	0	0	0	0.0330025
Il22	0.829386	1.14668	0.225468	0.046003	0	0	0
Gm11567	0	0	0	0	0	0	0
Haglr	0.0281571	0.0199029	0.0349025	0	0	0	0
Actn4	64.6234	14.7395	14.1463	10.3613	21.536	31.4115	37.231
Med4	61.7101	54.4037	49.6899	98.8243	97.5922	66.3437	35.1526
Serinc2	0.576332	0.215565	0.141342	0.0245141	0.571362	1.62461	0.0758475
Tchh	0	0.181405	1.11905	4.56697	0.898572	0.916818	0.0906285
Mir511	0	0	0	0	0	0	0
Mief1	4.29228	16.4663	26.598	14.3966	15.2354	11.1138	3.78066
Gtf2e2	11.4696	27.7715	25.1786	45.4911	37.6462	52.2984	99.372
Steap3	0	0	0	1.08248	1.87646	9.7522	0.099687
Triqk	45.8142	52.8314	55.827	6.82465	0.58182	0.05415	0.391755
1700009C05Rik	0	0	0	0	0	0	0
Loxl1	1.21915	0.483445	0.4499	0.790194	3.58784	4.40818	0.284127
Gm7788	0	0	0.973861	0	0	0	0
Ifna12	0.120502	0	0.13583	0	0	0	0
Gm13238	0.820623	0.45551	0.601415	0.352058	0.959937	0.864314	0.442707
Ano2	2.889	1.72021	1.42928	0.188656	0.0948509	0.526902	0
Gpa33	2.98139	0.901556	1.71164	0.275741	0.0241006	0.0169542	3.83282
Gm5134	13.9629	11.9478	12.2321	2.38076	2.62307	4.09073	0.3382
Tango2	2.73967	4.84644	6.93852	22.6124	36.6803	30.6662	2.71205
Gm11627	0	0	0.343494	0.168524	0	0	13.8416
Olfr48	0	0	0	0	0	0	0
Htr5a	4.14774	16.3399	16.9241	0.400583	0.00939814	0	0
Prol1	0	0	0	0	0	0	0
Slc25a15	86.197	86.2896	64.7281	14.5655	9.12085	5.051	6.33928
Neil1	1.10917	0.332202	0.370235	0.0842604	0.259218	0.791955	0.131148
Arhgap35	3.35929	1.50126	1.27673	4.84744	3.62118	3.58028	1.67956
Lzts1	9.24394	4.80428	4.76575	1.02819	0.189005	0.110414	0
Vash2	0	0.108393	0.0211876	0.134242	0.027316	0.0289688	0.723548
Bglap	0	0	0	0.0829172	0.103092	0	0
Fam73b	0.0591585	0.0841962	0	1.4691	3.16048	1.30107	0.560921
C1qtnf4	0.0567277	0.0784255	0.0341069	22.0537	18.4495	6.47639	0.546142
Sspn	22.3217	15.7863	11.3475	4.56284	0.456126	0.178346	0
Pitpnm3	0	0	0.00607537	0.0322705	0	0	0.0198171
Pqlc2	1.76899	0.365881	0.426947	8.95211	7.58966	4.23801	0.896141
Mex3b	0.876919	0.402215	0.755894	0.578342	0.470983	1.57453	0.158422
Mup21	0.131428	0	0	0	0	0	0
Grk5	0.71994	0.9256	1.05346	2.38812	1.65041	3.08046	0.257565
Asb14	0	0	0	0.101872	0.0867709	0.109405	0
Peli3	0	0	0	0.189567	0.0580486	0.224075	0
Pmm1	7.77423	10.3861	9.85534	121.053	230.503	481.54	57.5305
Pgap2	15.8836	7.76327	4.08706	25.8058	39.6199	31.9127	5.89661
Olfr544	0	0	0	0	0	0	0.12968
Dnajc11	24.2788	41.3837	49.2678	5.85445	14.5316	15.8361	11.1858
Def8	0.453008	1.50297	2.14528	10.7147	36.602	37.9144	4.9019
Gm20199	0	0.0703391	0.0206289	0.58826	0.851244	0.639526	0.234837
Nrep	4.92853	4.03472	5.81766	1.80221	0.611372	0.429581	0.671069
Ctrcos	0	0	0	1.79432	0.767031	0	0
Vmn1r231	0.189006	0.126944	0	0	0	0	0
Bbx	2.06778	1.04605	0.872629	1.16972	1.65678	5.89493	2.36422
Ncoa4	148.504	159.672	122.039	10.271	11.8415	11.0988	13.9837
Slc35e3	0	0.0407482	3.57042	7.80644	4.12172	2.08589	1.00874
2610306M01Rik	0.410127	0.500512	1.15306	2.19923	1.38556	1.49997	1.67738
Mrps9	8.39859	8.49271	10.4862	7.97158	13.7535	13.949	36.1212
Mir7043	0	0	0	0	0	0	0
